primordia,leaf,angle,genotype,plant,population
,L3L4,176.33,e2,E92,1
,L3L4,176.41,e2,E81,1
,L1L2,176.43,e2,E85,1
P1P2,L3L4,176.656,e2,e23k,2
,L1L2,176.74,e2,E36,1
,L2L3,176.82,e2,E81,1
P2P3,L2L3,177.196,e2,e29a,2
,L3L4,177.24,e2,E55,1
,L1L2,177.65,e2,E10,1
,L3L4,177.8,e2,E107,1
,L1L2,177.81,e2,E64,1
,L1L2,177.98,e2,E77,1
P3P4,L3L4,178.01,3130,3130z,2
,L1L2,178.13,e2,E79,1
P5P6,L1L2,178.157,e2,e28i,2
,L3L4,178.21,e2,E76,1
,L1L2,178.24,e2,E90,1
,L1L2,178.41,e2,E95,1
,L1L2,178.9,e2,E5,1
,L3L4,179.47,3130,W97,1
,L3L4,179.56,e2,E12,1
,L3L4,179.59,e2,E64,1
,L3L4,179.68,e2,E23,1
,L1L2,179.7,e2,E51,1
,L3L4,179.82,e2,E59,1
,L1L2,179.95,e2,E88,1
,L1L2,179.97,3130,W76,1
,L3L4,180,e2,E45,1
,L3L4,,3130,W52,1
,L4L5,,3130,W1,1
,L4L5,,3130,W2,1
,L4L5,,3130,W3,1
,L4L5,,3130,W4,1
,L4L5,,3130,W5,1
,L4L5,,3130,W6,1
,L4L5,,3130,W7,1
,L4L5,,3130,W8,1
,L4L5,,3130,W9,1
,L4L5,,3130,W10,1
,L4L5,,3130,W11,1
,L4L5,,3130,W12,1
,L4L5,,3130,W13,1
,L4L5,,3130,W14,1
,L4L5,,3130,W15,1
,L4L5,,3130,W16,1
,L4L5,,3130,W17,1
,L4L5,,3130,W18,1
,L4L5,,3130,W19,1
,L4L5,,3130,W20,1
,L4L5,,3130,W21,1
,L4L5,,3130,W22,1
,L4L5,,3130,W23,1
,L4L5,,3130,W24,1
,L4L5,,3130,W25,1
,L4L5,,3130,W26,1
,L4L5,,3130,W27,1
,L4L5,,3130,W28,1
,L4L5,,3130,W29,1
,L4L5,,3130,W30,1
,L4L5,,3130,W31,1
,L4L5,,3130,W32,1
,L4L5,,3130,W33,1
,L4L5,,3130,W34,1
,L4L5,,3130,W35,1
,L4L5,,3130,W36,1
,L4L5,,3130,W37,1
,L4L5,,3130,W38,1
,L4L5,,3130,W39,1
,L4L5,,3130,W40,1
,L4L5,,3130,W41,1
,L4L5,,3130,W42,1
,L4L5,,3130,W43,1
,L4L5,,3130,W44,1
,L4L5,,3130,W45,1
,L4L5,,3130,W46,1
,L4L5,,3130,W47,1
,L4L5,,3130,W48,1
,L4L5,,3130,W49,1
,L4L5,,3130,W50,1
,L4L5,,3130,W51,1
,L4L5,,3130,W52,1
,L4L5,,3130,W53,1
,L4L5,,3130,W56,1
,L4L5,,3130,W60,1
,L4L5,,3130,W66,1
,L4L5,,3130,W67,1
,L4L5,,3130,W70,1
,L4L5,,3130,W80,1
,L4L5,,3130,W92,1
,L4L5,,3130,W98,1
,L4L5,,3130,W103,1
,L1L2,,e2,E6,1
,L1L2,,e2,E7,1
,L1L2,,e2,E8,1
,L1L2,,e2,E17,1
,L1L2,,e2,E52,1
,L1L2,,e2,E66,1
,L1L2,,e2,E67,1
,L1L2,,e2,E87,1
,L1L2,,e2,E91,1
,L1L2,,e2,E98,1
,L2L3,,e2,E6,1
,L2L3,,e2,E7,1
,L2L3,,e2,E8,1
,L2L3,,e2,E11,1
,L2L3,,e2,E17,1
,L2L3,,e2,E29,1
,L2L3,,e2,E50,1
,L2L3,,e2,E52,1
,L2L3,,e2,E54,1
,L2L3,,e2,E66,1
,L2L3,,e2,E67,1
,L2L3,,e2,E87,1
,L2L3,,e2,E91,1
,L2L3,,e2,E98,1
,L3L4,,e2,E1,1
,L3L4,,e2,E2,1
,L3L4,,e2,E3,1
,L3L4,,e2,E5,1
,L3L4,,e2,E6,1
,L3L4,,e2,E7,1
,L3L4,,e2,E8,1
,L3L4,,e2,E10,1
,L3L4,,e2,E11,1
,L3L4,,e2,E13,1
,L3L4,,e2,E15,1
,L3L4,,e2,E17,1
,L3L4,,e2,E20,1
,L3L4,,e2,E22,1
,L3L4,,e2,E24,1
,L3L4,,e2,E25,1
,L3L4,,e2,E27,1
,L3L4,,e2,E28,1
,L3L4,,e2,E29,1
,L3L4,,e2,E30,1
,L3L4,,e2,E33,1
,L3L4,,e2,E34,1
,L3L4,,e2,E42,1
,L3L4,,e2,E44,1
,L3L4,,e2,E47,1
,L3L4,,e2,E48,1
,L3L4,,e2,E50,1
,L3L4,,e2,E51,1
,L3L4,,e2,E52,1
,L3L4,,e2,E54,1
,L3L4,,e2,E66,1
,L3L4,,e2,E67,1
,L3L4,,e2,E77,1
,L3L4,,e2,E87,1
,L3L4,,e2,E91,1
,L3L4,,e2,E98,1
,L4L5,,e2,E1,1
,L4L5,,e2,E2,1
,L4L5,,e2,E3,1
,L4L5,,e2,E4,1
,L4L5,,e2,E5,1
,L4L5,,e2,E6,1
,L4L5,,e2,E7,1
,L4L5,,e2,E8,1
,L4L5,,e2,E9,1
,L4L5,,e2,E10,1
,L4L5,,e2,E11,1
,L4L5,,e2,E12,1
,L4L5,,e2,E13,1
,L4L5,,e2,E14,1
,L4L5,,e2,E15,1
,L4L5,,e2,E16,1
,L4L5,,e2,E17,1
,L4L5,,e2,E18,1
,L4L5,,e2,E19,1
,L4L5,,e2,E20,1
,L4L5,,e2,E21,1
,L4L5,,e2,E22,1
,L4L5,,e2,E23,1
,L4L5,,e2,E24,1
,L4L5,,e2,E25,1
,L4L5,,e2,E26,1
,L4L5,,e2,E27,1
,L4L5,,e2,E28,1
,L4L5,,e2,E29,1
,L4L5,,e2,E30,1
,L4L5,,e2,E31,1
,L4L5,,e2,E32,1
,L4L5,,e2,E33,1
,L4L5,,e2,E34,1
,L4L5,,e2,E35,1
,L4L5,,e2,E36,1
,L4L5,,e2,E37,1
,L4L5,,e2,E38,1
,L4L5,,e2,E39,1
,L4L5,,e2,E40,1
,L4L5,,e2,E41,1
,L4L5,,e2,E42,1
,L4L5,,e2,E43,1
,L4L5,,e2,E44,1
,L4L5,,e2,E45,1
,L4L5,,e2,E46,1
,L4L5,,e2,E47,1
,L4L5,,e2,E48,1
,L4L5,,e2,E49,1
,L4L5,,e2,E50,1
,L4L5,,e2,E51,1
,L4L5,,e2,E52,1
,L4L5,,e2,E53,1
,L4L5,,e2,E54,1
,L4L5,,e2,E55,1
,L4L5,,e2,E56,1
,L4L5,,e2,E58,1
,L4L5,,e2,E62,1
,L4L5,,e2,E63,1
,L4L5,,e2,E64,1
,L4L5,,e2,E65,1
,L4L5,,e2,E66,1
,L4L5,,e2,E67,1
,L4L5,,e2,E68,1
,L4L5,,e2,E69,1
,L4L5,,e2,E70,1
,L4L5,,e2,E71,1
,L4L5,,e2,E74,1
,L4L5,,e2,E77,1
,L4L5,,e2,E79,1
,L4L5,,e2,E80,1
,L4L5,,e2,E81,1
,L4L5,,e2,E82,1
,L4L5,,e2,E86,1
,L4L5,,e2,E87,1
,L4L5,,e2,E88,1
,L4L5,,e2,E91,1
,L4L5,,e2,E94,1
,L4L5,,e2,E98,1
,L4L5,,e2,E107,1
,L6L7,136,pin1.gfp.e2,pin1.gfp.e21,3
,L5L6,137,pin1.gfp.e2,pin1.gfp.e21,3
,L4L5,164,pin1.gfp.e2,pin1.gfp.e21,3
,L3L4,117,pin1.gfp.e2,pin1.gfp.e21,3
,L2L3,134,pin1.gfp.e2,pin1.gfp.e21,3
,L1L2,135,pin1.gfp.e2,pin1.gfp.e21,3
,L6L7,105,pin1.gfp.e2,pin1.gfp.e22,3
,L5L6,145,pin1.gfp.e2,pin1.gfp.e22,3
,L4L5,134,pin1.gfp.e2,pin1.gfp.e22,3
,L3L4,109,pin1.gfp.e2,pin1.gfp.e22,3
,L2L3,123,pin1.gfp.e2,pin1.gfp.e22,3
,L1L2,130,pin1.gfp.e2,pin1.gfp.e22,3
,L7L8,137,pin1.gfp.e2,pin1.gfp.e33,3
,L6L7,135,pin1.gfp.e2,pin1.gfp.e23,3
,L5L6,119,pin1.gfp.e2,pin1.gfp.e23,3
,L4L5,124,pin1.gfp.e2,pin1.gfp.e23,3
,L3L4,154,pin1.gfp.e2,pin1.gfp.e23,3
,L2L3,123,pin1.gfp.e2,pin1.gfp.e23,3
,L1L2,107,pin1.gfp.e2,pin1.gfp.e23,3
,L6L7,155,pin1.gfp.e2,pin1.gfp.e24,3
,L5L6,115,pin1.gfp.e2,pin1.gfp.e24,3
,L4L5,129,pin1.gfp.e2,pin1.gfp.e24,3
,L3L4,116,pin1.gfp.e2,pin1.gfp.e24,3
,L2L3,137,pin1.gfp.e2,pin1.gfp.e24,3
,L1L2,112,pin1.gfp.e2,pin1.gfp.e24,3
,L7L8,137,pin1.gfp.e2,pin1.gfp.e25,3
,L6L7,139,pin1.gfp.e2,pin1.gfp.e25,3
,L5L6,105,pin1.gfp.e2,pin1.gfp.e25,3
,L4L5,137,pin1.gfp.e2,pin1.gfp.e25,3
,L3L4,164,pin1.gfp.e2,pin1.gfp.e25,3
,L2L3,103,pin1.gfp.e2,pin1.gfp.e25,3
,L1L2,137,pin1.gfp.e2,pin1.gfp.e25,3
,L6L7,119,pin1.gfp.e2,pin1.gfp.e26,3
,L5L6,134,pin1.gfp.e2,pin1.gfp.e26,3
,L4L5,129,pin1.gfp.e2,pin1.gfp.e26,3
,L3L4,108,pin1.gfp.e2,pin1.gfp.e26,3
,L2L3,137,pin1.gfp.e2,pin1.gfp.e26,3
,L1L2,169,pin1.gfp.e2,pin1.gfp.e26,3
,L7L8,137,pin1.gfp.e2,pin1.gfp.e27,3
,L6L7,138,pin1.gfp.e2,pin1.gfp.e27,3
,L5L6,135,pin1.gfp.e2,pin1.gfp.e27,3
,L4L5,141,pin1.gfp.e2,pin1.gfp.e27,3
,L3L4,125,pin1.gfp.e2,pin1.gfp.e27,3
,L2L3,144,pin1.gfp.e2,pin1.gfp.e27,3
,L1L2,132,pin1.gfp.e2,pin1.gfp.e27,3
,L6L7,144,pin1.gfp.e2,pin1.gfp.e28,3
,L5L6,175,pin1.gfp.e2,pin1.gfp.e28,3
,L4L5,139,pin1.gfp.e2,pin1.gfp.e28,3
,L3L4,150,pin1.gfp.e2,pin1.gfp.e28,3
,L2L3,133,pin1.gfp.e2,pin1.gfp.e28,3
,L1L2,128,pin1.gfp.e2,pin1.gfp.e28,3
,L6L7,155,pin1.gfp.e2,pin1.gfp.e29,3
,L5L6,149,pin1.gfp.e2,pin1.gfp.e29,3
,L4L5,139,pin1.gfp.e2,pin1.gfp.e29,3
,L3L4,134,pin1.gfp.e2,pin1.gfp.e29,3
,L2L3,135,pin1.gfp.e2,pin1.gfp.e29,3
,L1L2,140,pin1.gfp.e2,pin1.gfp.e29,3
,L6L7,118,pin1.gfp.e2,pin1.gfp.e210,3
,L5L6,145,pin1.gfp.e2,pin1.gfp.e210,3
,L4L5,104,pin1.gfp.e2,pin1.gfp.e210,3
,L3L4,124,pin1.gfp.e2,pin1.gfp.e210,3
,L2L3,132,pin1.gfp.e2,pin1.gfp.e210,3
,L1L2,180,pin1.gfp.e2,pin1.gfp.e210,3
