Label,Area,Perim.,Circ.,AR,Round,Solidity
L1_EC6.bmp,25.659,40.301,0.199,1.295,0.772,0.876
L1_EC7.bmp,13.709,30.643,0.183,2.087,0.479,0.887
L1_EC7.bmp,13.014,39.142,0.107,2.127,0.47,0.875
L1_EC8.bmp,0.007,0.504,0.371,4.061,0.246,0.677
L1_EC8.bmp,0.001,0.104,1,1.464,0.683,0.857
L1_EC9.bmp,0.008,0.9,0.126,24,0.042,1
L1_EC9.bmp,23.919,39.129,0.196,1.407,0.711,0.837
L1_ED1.bmp,23.261,33.318,0.263,1.402,0.713,0.931
L1_ED1.bmp,23.261,33.318,0.263,1.402,0.713,0.931
L1_ED10.bmp,18.097,44.884,0.113,1.181,0.847,0.856
L1_ED10.bmp,3.40E-04,0.052,1,1,1,1
L1_ED11.bmp,31.547,42.98,0.215,1.306,0.766,0.89
L1_ED11.bmp,30.505,53.422,0.134,1.314,0.761,0.884
L1_ED12.bmp,765.236,110.608,0.786,1,1,1
L1_ED12.bmp,25.182,52.968,0.113,1.505,0.664,0.852
L1_ED13.bmp,0.001,0.141,0.857,2,0.5,0.8
L1_ED13.bmp,0.002,0.156,0.873,1.496,0.668,0.714
L1_ED14.bmp,14.287,32.702,0.168,1.546,0.647,0.833
L1_ED14.bmp,13.59,35.47,0.136,1.557,0.642,0.838
L1_ED15.bmp,0.003,0.31,0.355,8,0.125,1
L1_ED15.bmp,16.699,41.462,0.122,1.3,0.77,0.884
L1_ED16.bmp,26.326,59.598,0.093,1.195,0.837,0.805
L1_ED16.bmp,27.334,44.642,0.172,1.201,0.832,0.823
L1_ED17.bmp,28.024,37.763,0.247,1.167,0.857,0.935
L1_ED17.bmp,3.40E-04,0.052,1,1,1,1
L1_ED18.bmp,23.294,44.39,0.149,1.283,0.779,0.892
L1_ED18.bmp,24.114,34.935,0.248,1.282,0.78,0.912
L1_ED2.bmp,21.965,46.853,0.126,1.269,0.788,0.844
L1_ED2.bmp,21.965,46.853,0.126,1.269,0.788,0.844
L1_ED3.bmp,24.355,51.953,0.113,1.656,0.604,0.834
L1_ED3.bmp,25.341,43.234,0.17,1.643,0.609,0.847
L1_ED5.bmp,0.002,0.178,0.674,2.61,0.383,0.769
L1_ED5.bmp,26.718,58.117,0.099,1.283,0.78,0.811
L1_ED6.bmp,16.146,37.294,0.146,1.104,0.906,0.895
L1_ED6.bmp,16.146,37.294,0.146,1.104,0.906,0.895
L1_ED7.bmp,20.955,49.686,0.107,1.388,0.72,0.802
L1_ED7.bmp,21.962,41.311,0.162,1.378,0.726,0.807
L1_ED8.bmp,24.03,49.95,0.121,1.302,0.768,0.856
L1_ED8.bmp,24.03,49.95,0.121,1.302,0.768,0.856
L1_ED9.bmp,38.778,64.284,0.118,1.329,0.752,0.857
L1_ED9.bmp,39.991,54.754,0.168,1.327,0.753,0.873
L1_EE1.bmp,20.97,33.266,0.238,1.303,0.768,0.918
L1_EE1.bmp,20.22,46.187,0.119,1.303,0.767,0.903
L1_EE10.bmp,29.095,39.496,0.234,1.159,0.863,0.908
L1_EE10.bmp,29.095,39.496,0.234,1.159,0.863,0.908
L1_EE11.bmp,13.082,26.002,0.243,1.501,0.666,0.898
L1_EE11.bmp,3.40E-04,0.052,1,1,1,1
L1_EE12.bmp,20.713,47.664,0.115,1.181,0.847,0.816
L1_EE12.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EE13.bmp,0.001,0.104,1,1.464,0.683,0.857
L1_EE13.bmp,17.925,26.903,0.311,1.436,0.697,0.955
L1_EE14.bmp,0.002,0.156,0.873,1.496,0.668,0.714
L1_EE14.bmp,0.002,0.178,0.674,2.61,0.383,0.769
L1_EE16.bmp,12.208,32.223,0.148,1.269,0.788,0.878
L1_EE16.bmp,12.208,32.212,0.148,1.269,0.788,0.878
L1_EE17.bmp,26.848,58.204,0.1,1.755,0.57,0.803
L1_EE17.bmp,27.967,45.404,0.17,1.719,0.582,0.799
L1_EE18.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EE18.bmp,7.881,29.525,0.114,1.283,0.779,0.834
L1_EE2.bmp,20.976,33.56,0.234,1.353,0.739,0.944
L1_EE2.bmp,20.266,41.033,0.151,1.352,0.74,0.923
L1_EE3.bmp,21.187,41.733,0.153,1.681,0.595,0.792
L1_EE3.bmp,21.187,41.733,0.153,1.681,0.595,0.792
L1_EE4.bmp,16.726,31.445,0.213,1.221,0.819,0.914
L1_EE4.bmp,16.01,35.923,0.156,1.218,0.821,0.892
L1_EE5.bmp,0.002,0.156,0.873,1.496,0.668,0.714
L1_EE5.bmp,0.003,0.261,0.628,1.839,0.544,0.645
L1_EE6.bmp,3.40E-04,0.052,1,1,1,1
L1_EE6.bmp,3.40E-04,0.052,1,1,1,1
L1_EE7.bmp,22.721,48.619,0.121,1.22,0.82,0.84
L1_EE7.bmp,23.655,40.785,0.179,1.202,0.832,0.855
L1_EE8.bmp,19.31,34.837,0.2,1.3,0.769,0.875
L1_EE8.bmp,0.001,0.126,0.809,3,0.333,1
L1_EE9.bmp,22.782,42.024,0.162,1.184,0.845,0.796
L1_EE9.bmp,22.782,42.024,0.162,1.184,0.845,0.796
L1_EF1.bmp,10.228,32.558,0.121,1.454,0.688,0.87
L1_EF1.bmp,10.806,26.376,0.195,1.434,0.697,0.896
L1_EF10.bmp,13.156,28.023,0.211,1.269,0.788,0.909
L1_EF10.bmp,13.156,28.023,0.211,1.269,0.788,0.909
L1_EF11.bmp,9.138,24.789,0.187,1.482,0.675,0.871
L1_EF11.bmp,9.585,22.074,0.247,1.475,0.678,0.879
L1_EF12.bmp,18.988,32.043,0.232,1.265,0.791,0.908
L1_EF12.bmp,18.988,32.043,0.232,1.265,0.791,0.908
L1_EF13.bmp,3.40E-04,0.052,1,1,1,1
L1_EF13.bmp,3.40E-04,0.052,1,1,1,1
L1_EF14.bmp,15.228,30.99,0.199,1.263,0.792,0.917
L1_EF14.bmp,15.228,30.99,0.199,1.263,0.792,0.917
L1_EF15.bmp,0.003,0.31,0.355,8,0.125,1
L1_EF15.bmp,3.40E-04,0.052,1,1,1,1
L1_EF16.bmp,6.80E-04,0.078,1,2,0.5,1
L1_EF16.bmp,15.499,29.111,0.23,1.305,0.766,0.927
L1_EF18.bmp,13.747,34.46,0.145,1.265,0.791,0.892
L1_EF18.bmp,13.747,34.46,0.145,1.265,0.791,0.892
L1_EF2.bmp,10.423,27.011,0.18,1.32,0.758,0.902
L1_EF2.bmp,10.423,27.011,0.18,1.32,0.758,0.902
L1_EF3.bmp,12.166,26.521,0.217,1.274,0.785,0.934
L1_EF3.bmp,11.545,29.567,0.166,1.275,0.784,0.91
L1_EF4.bmp,21.99,34.682,0.23,1.288,0.776,0.905
L1_EF4.bmp,0.006,0.642,0.176,17,0.059,1
L1_EF5.bmp,12.217,24.046,0.266,1.312,0.762,0.924
L1_EF5.bmp,3.40E-04,0.052,1,1,1,1
L1_EF6.bmp,8.527,21.757,0.226,1.213,0.825,0.907
L1_EF6.bmp,0.003,0.363,0.325,6.958,0.144,0.714
L1_EF7.bmp,19.567,32.407,0.234,1.266,0.79,0.918
L1_EF7.bmp,0.001,0.104,1,1.464,0.683,0.857
L1_EF8.bmp,14.359,35.695,0.142,1.201,0.833,0.888
L1_EF8.bmp,14.969,29.6,0.215,1.204,0.831,0.912
L1_EF9.bmp,18.144,36.478,0.171,1.054,0.949,0.919
